Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2002 [YR2002],2003 [YR2003],2004 [YR2004],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Gabon,GAB,12395.61957,13968.76836,14199.2359,14315.03503,14837.07183,15638.69147,15356.19154,15114.36919,15370.97615,14699.56624,14286.25374,15006.76409,15091.28807,15486.06832
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,"Gambia, The",GMB,1557.057844,1908.260825,2011.810755,2142.753869,2434.891249,2215.751109,2199.788143,2121.486392,2027.031349,2066.859359,2068.742988,2072.65245,2194.822159,2298.378173
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Georgia,GEO,5730.909932,3650.85722,4157.879407,4545.293132,7564.063061,8360.297207,9826.052753,10611.77412,11575.54721,12089.16941,12858.4834,13589.70739,14593.50487,15636.55376
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Germany,DEU,19427.50938,29178.63747,29875.49426,31305.43091,38978.7437,42541.53109,43359.61483,44993.89275,47011.55109,47683.7886,50564.25131,53011.76816,54456.92926,56052.42207
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Ghana,GHA,1237.362489,1903.14627,1989.767078,2104.811019,2973.832821,3379.484998,3781.866256,5259.618069,5454.143893,5117.337095,4890.018963,4996.638706,5317.011759,5636.95391
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Gibraltar,GIB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Viet Nam,GRC,13287.2558,22615.93565,23870.50815,25437.37821,28169.49002,26141.31959,25284.46408,26097.8719,26838.45523,26902.52532,27823.36184,29089.01401,30354.349,31399.41567
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Greenland,GRL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Grenada,GRD,4729.104716,7977.147794,8862.539347,9012.576276,10862.86744,11115.70696,11164.43872,11887.57767,13041.81611,14152.41757,15025.82166,16217.49985,17197.65807,17956.1054
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Guam,GUM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Guatemala,GTM,3378.436847,5097.529629,5208.761825,5401.532156,6728.246726,7025.674554,7320.153417,7446.587991,7758.493152,8194.440681,8221.746427,8317.364117,8647.821544,8995.537873
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Guinea,GIN,882.8879883,1329.799876,1345.239749,1386.437434,1653.718154,1743.947101,1795.448313,1811.334347,1804.54215,1819.363616,2078.593007,2420.600993,2557.380809,2670.308947
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Guinea-Bissau,GNB,1012.667471,1078.804714,1080.240975,1113.757473,1338.984566,1439.289881,1355.315252,1364.385265,1378.232654,1597.208851,1746.749806,1925.237737,1995.172156,2071.816248
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Guyana,GUY,2129.457397,4513.825323,4566.413409,4758.868421,6512.324954,6969.708502,7380.61593,7901.951452,8165.721013,8365.612084,8830.397993,8989.038274,9531.884623,10104.70119
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Haiti,HTI,1382.347846,1395.906694,1403.601024,1368.019456,1527.768855,1621.230334,1590.016853,1680.964098,1718.933916,1704.930581,1757.385146,1763.663261,1808.876032,1800.564561
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Honduras,HND,2052.132456,2720.274462,2824.608203,3006.695955,3778.460561,3928.268075,4032.581323,4142.239868,4452.583019,4823.389044,5147.244578,5561.996312,5806.101014,5965.368819
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Hong Kong,HKG,18270.24386,29631.0657,31165.23153,34518.38981,49185.23074,52277.46644,52234.59232,53691.83748,54781.64716,56408.93627,57221.41376,59849.24818,62513.0323,62375.11937
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Hungary,HUN,0,14526.38826,15464.41134,16228.99393,21586.03614,22894.34764,23148.12788,24498.17916,25604.98821,26668.04088,27699.63094,29529.30923,31578.7598,33978.95509
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Iceland,ISL,21978.11574,32524.02375,32619.86491,35608.22761,39606.59579,40767.23551,41926.34162,44157.55212,45714.79266,48854.34544,53025.43951,55562.42662,57742.15028,60061.37059
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,India,IND,1201.668487,2287.63002,2472.103741,2695.893697,4236.744324,4493.667896,4861.146371,5057.217581,5233.868543,5464.859141,5839.898589,6185.993893,6650.112149,7034.217224
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Indonesia,IDN,3082.082339,5190.36499,5465.264202,5816.181493,8505.748535,9095.733633,9713.873158,10067.42225,10278.13992,10247.20638,10494.56047,10935.84175,11639.86506,12301.7529
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,"Iran, Islamic Rep.",IRN,7217.414715,11283.10482,12342.72858,13070.55911,17388.89561,18008.80252,15950.10453,15273.84631,15235.70484,13588.4676,14011.54513,14535.86306,0,0
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Iraq,IRQ,0,8937.560147,5920.964185,9134.933646,12717.01756,13515.54813,15163.35062,15535.35112,14267.03561,10391.77771,9897.001441,10971.97001,10911.63791,11332.14147
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Ireland,IRL,13734.34695,35212.09472,36238.34818,38669.39904,43327.40242,44855.3247,46256.56888,47897.29166,51067.97671,69056.04604,71921.71705,78128.18158,84459.65164,88240.90103
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Isle of Man,IMN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Israel,ISR,15150.57714,25224.87874,23818.48605,25208.03624,28824.19399,30539.96337,31693.91787,34145.7126,34212.94449,35436.81087,37843.97781,38966.66269,40261.33803,42193.82559
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Italy,ITA,18603.49618,28736.57711,29165.04967,29527.89483,35181.96842,36598.01497,36486.29679,36314.6971,36194.87392,36909.32837,39922.90848,41784.62471,42816.20297,44196.6931
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Jamaica,JAM,4765.927775,6723.67298,7056.150577,7300.063824,7900.210723,8159.884828,8187.182151,8442.031543,8544.230186,8791.297949,9193.375792,9598.370957,9967.768024,10166.06278
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Japan,JPN,19561.20164,28160.10761,28924.68195,30348.04174,34986.99454,35774.69671,37191.38595,38974.07949,39179.15561,40396.24321,39970.67985,40858.88438,41335.52322,43235.71757
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Jordan,JOR,4162.969004,6530.873833,6780.377678,7361.380522,9384.458915,9313.257679,9111.60944,9215.339765,9050.628455,9331.339833,9283.870671,9841.169557,10086.44954,10316.60909
